CustomerID,TotalRevenue,TotalItemsPurchased,AvgOrderValue,FirstPurchaseDate,LastPurchaseDate,CustomerTenureDays,RecencyDays,TotalOrders
12346.0,77183.6,74215,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,0,326,1
12347.0,4310.0,2458,615.7142857142857,2010-12-07 14:57:00,2011-12-07 15:52:00,365,2,7
12348.0,1797.24,2341,449.31,2010-12-16 19:09:00,2011-09-25 13:13:00,282,75,4
12349.0,1757.55,631,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,0,19,1
12350.0,334.4,197,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,0,310,1
12352.0,2506.04,536,313.255,2011-02-16 12:33:00,2011-11-03 14:37:00,260,36,8
12353.0,89.0,20,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,0,204,1
12354.0,1079.4,530,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,0,232,1
12355.0,459.4,240,459.4,2011-05-09 13:49:00,2011-05-09 13:49:00,0,214,1
12356.0,2811.43,1591,937.1433333333333,2011-01-18 09:50:00,2011-11-17 08:40:00,302,23,3
12357.0,6207.67,2708,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,0,33,1
12358.0,1168.06,248,584.03,2011-07-12 10:04:00,2011-12-08 10:26:00,149,2,2
12359.0,6372.58,1622,1593.145,2011-01-12 12:43:00,2011-10-13 12:47:00,274,58,4
12360.0,2662.06,1165,887.3533333333334,2011-05-23 09:43:00,2011-10-18 15:22:00,148,52,3
12361.0,189.9,91,189.9,2011-02-25 13:51:00,2011-02-25 13:51:00,0,287,1
12362.0,5226.23,2229,522.6229999999999,2011-02-17 10:30:00,2011-12-06 15:40:00,292,3,10
12363.0,552.0,408,276.0,2011-04-11 13:29:00,2011-08-22 10:18:00,132,110,2
12364.0,1313.1,1506,328.275,2011-08-19 15:24:00,2011-12-02 10:22:00,104,8,4
12365.0,641.38,174,320.69,2011-02-21 13:51:00,2011-02-21 14:04:00,0,291,2
12367.0,168.9,173,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,0,4,1
12370.0,3545.69,2353,886.4225,2010-12-14 12:58:00,2011-10-19 14:51:00,309,51,4
12371.0,1887.96,591,943.98,2011-10-11 10:43:00,2011-10-26 10:16:00,14,45,2
12372.0,1298.04,794,432.68,2011-02-16 12:46:00,2011-09-29 12:12:00,224,72,3
12373.0,364.6,197,364.6,2011-02-01 13:10:00,2011-02-01 13:10:00,0,311,1
12374.0,742.93,342,742.93,2011-11-14 15:37:00,2011-11-14 15:37:00,0,25,1
12375.0,457.5,178,228.75,2011-09-02 14:23:00,2011-11-29 10:36:00,87,11,2
12377.0,1628.12,944,814.06,2010-12-20 09:37:00,2011-01-28 15:45:00,39,315,2
12378.0,4008.62,2529,4008.62,2011-08-02 10:34:00,2011-08-02 10:34:00,0,130,1
12379.0,852.24,407,426.12,2011-06-22 16:32:00,2011-09-19 10:09:00,88,82,2
12380.0,2724.81,1127,681.2025,2011-06-07 09:49:00,2011-11-18 11:27:00,164,22,4
12381.0,1845.31,808,369.062,2011-08-12 09:57:00,2011-12-05 12:44:00,115,5,5
12383.0,1850.56,1532,370.11199999999997,2010-12-22 14:28:00,2011-06-08 08:02:00,167,185,5
12384.0,585.27,126,292.635,2011-08-10 11:23:00,2011-11-11 08:39:00,92,29,2
12386.0,401.9,354,200.95,2010-12-08 09:53:00,2011-01-06 12:37:00,29,338,2
12388.0,2780.66,1462,463.4433333333333,2011-01-17 11:12:00,2011-11-24 12:30:00,311,16,6
12390.0,549.84,353,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,0,80,1
12391.0,460.89,300,460.89,2011-11-18 12:07:00,2011-11-18 12:07:00,0,22,1
12393.0,1582.6,816,395.65,2011-01-11 09:47:00,2011-09-28 15:41:00,260,72,4
12394.0,1272.48,819,636.24,2011-05-06 14:01:00,2011-10-07 08:08:00,153,64,2
12395.0,3018.63,2118,251.5525,2010-12-03 16:35:00,2011-11-20 15:21:00,351,19,12
12397.0,2409.9,1263,1204.95,2011-07-27 14:21:00,2011-11-04 09:52:00,99,36,2
12398.0,1635.6599999999999,1394,1635.6599999999999,2011-10-25 10:27:00,2011-10-25 10:27:00,0,46,1
12399.0,1108.65,1178,277.1625,2011-03-23 09:42:00,2011-08-12 13:15:00,142,119,4
12401.0,84.3,11,84.3,2011-02-09 13:50:00,2011-02-09 13:50:00,0,303,1
12402.0,225.6,94,225.6,2011-01-20 13:49:00,2011-01-20 13:49:00,0,323,1
12403.0,427.7,96,427.7,2011-10-21 10:51:00,2011-10-21 10:51:00,0,50,1
12405.0,1710.3899999999999,857,1710.3899999999999,2011-07-14 08:52:00,2011-07-14 08:52:00,0,149,1
12406.0,3415.2999999999997,1818,1707.6499999999999,2011-06-09 10:23:00,2011-11-17 19:22:00,161,22,2
12407.0,1708.12,1416,341.62399999999997,2011-03-20 13:21:00,2011-10-21 10:11:00,214,50,5
12408.0,2888.55,1409,577.71,2011-03-24 14:46:00,2011-11-07 12:27:00,227,33,5
12409.0,11072.67,5551,3690.89,2011-06-10 12:19:00,2011-09-22 10:38:00,103,79,3
12410.0,693.33,211,346.665,2011-02-04 10:38:00,2011-02-04 10:39:00,0,309,2
12412.0,1226.8799999999999,829,408.96,2011-06-23 13:51:00,2011-09-26 10:16:00,94,75,3
12413.0,758.1,286,252.70000000000002,2011-01-06 16:12:00,2011-10-04 09:00:00,270,67,3
12414.0,562.41,300,187.47,2011-02-02 14:51:00,2011-05-06 14:51:00,93,217,3
12415.0,124914.53,77670,5948.310952380953,2011-01-06 11:12:00,2011-11-15 14:22:00,313,24,21
12417.0,3649.1,1552,405.4555555555555,2010-12-17 11:51:00,2011-12-06 14:52:00,354,3,9
12418.0,668.58,407,668.58,2011-08-19 11:08:00,2011-08-19 11:08:00,0,113,1
12420.0,600.39,345,600.39,2011-10-07 08:55:00,2011-10-07 08:55:00,0,64,1
12421.0,807.04,484,201.76,2011-01-24 15:09:00,2011-11-24 09:07:00,303,16,4
12422.0,803.56,370,267.8533333333333,2011-01-19 09:13:00,2011-09-05 09:48:00,229,96,3
12423.0,1859.31,1339,232.41375,2010-12-21 10:54:00,2011-12-09 10:10:00,352,1,8
12424.0,1760.96,740,880.48,2011-06-30 12:06:00,2011-06-30 12:06:00,0,163,2
12425.0,777.2,496,777.2,2011-09-22 17:31:00,2011-09-22 17:31:00,0,78,1
